Epoch: 0 || Index :0 || loss: 1.0992481708526611 || acc: 0.23035229742527008
Epoch: 0 || Index :0 || loss: 1.0997600555419922 || acc: 0.22816593945026398
Epoch: 0 || Index :100 || loss: 1.0294891595840454 || acc: 0.40467727184295654
Epoch: 0 || Index :200 || loss: 1.0707861185073853 || acc: 0.3866829574108124
Epoch: 0 || Index :300 || loss: 1.8687269687652588 || acc: 0.3940480351448059
Epoch: 0 || Index :400 || loss: 1.0333561897277832 || acc: 0.6402266025543213
Epoch: 0 || Index :500 || loss: 0.8605393767356873 || acc: 0.5870195627212524
Epoch: 0 || Index :600 || loss: 0.9560918807983398 || acc: 0.4764379858970642
Epoch: 0 || Index :700 || loss: 0.8999018669128418 || acc: 0.3507714569568634
Epoch: 0 || Index :800 || loss: 0.9214473962783813 || acc: 0.23357336223125458
Epoch: 0 || Index :900 || loss: 0.9622201323509216 || acc: 0.3953312337398529
Epoch: 0 || Index :1000 || loss: 0.9558665156364441 || acc: 0.1547207087278366
Epoch: 0 || Index :1100 || loss: 0.8467718362808228 || acc: 0.7428924441337585
Epoch: 0 || Index :1200 || loss: 0.8177269697189331 || acc: 0.5709724426269531
Epoch: 0 || Index :1300 || loss: 0.6718401908874512 || acc: 0.9050832390785217
Epoch: 0 || Index :1400 || loss: 1.679467797279358 || acc: 0.27114322781562805
Epoch: 0 || Index :1500 || loss: 0.5566491484642029 || acc: 0.8386713862419128
Epoch: 0 || Index :1600 || loss: 1.1363492012023926 || acc: 0.176901176571846
Epoch: 0 || Index :1700 || loss: 1.1971802711486816 || acc: 0.23451070487499237
Epoch: 0 || Index :1800 || loss: 0.5990442633628845 || acc: 0.7616328001022339
Epoch: 0 || Index :1900 || loss: 1.2046265602111816 || acc: 0.20500648021697998
Epoch: 0 || Index :2000 || loss: 0.6092689633369446 || acc: 0.7618677020072937
Epoch: 0 || Index :2100 || loss: 1.1892828941345215 || acc: 0.4659685790538788
Epoch: 0 || Index :2200 || loss: 0.6210982799530029 || acc: 0.9182311296463013
Epoch: 0 || Index :2300 || loss: 0.48776939511299133 || acc: 0.8911534547805786
Epoch: 0 || Index :2400 || loss: 1.006533145904541 || acc: 0.43638089299201965
Epoch: 0 || Index :2500 || loss: 0.8365767002105713 || acc: 0.7008563876152039
Epoch: 0 || Index :2600 || loss: 0.7281699180603027 || acc: 0.7408849596977234
Epoch: 0 || Index :2700 || loss: 0.9772546887397766 || acc: 0.5410686731338501
Epoch: 0 || Index :2800 || loss: 0.9833179712295532 || acc: 0.4561174511909485
Epoch: 0 || Index :2900 || loss: 1.0054004192352295 || acc: 0.4585505723953247
Epoch: 0 || Index :3000 || loss: 1.239568829536438 || acc: 0.45099541544914246
Epoch: 0 || Index :3100 || loss: 0.8038079738616943 || acc: 0.4707683026790619
Epoch: 0 || Index :3200 || loss: 0.47871366143226624 || acc: 0.8252290487289429
Epoch: 0 || Index :3300 || loss: 0.8696979284286499 || acc: 0.5634620785713196
Epoch: 0 || Index :3400 || loss: 1.3495612144470215 || acc: 0.35698768496513367
Epoch: 0 || Index :3500 || loss: 0.8316966891288757 || acc: 0.6358047127723694
Epoch: 0 || Index :3600 || loss: 0.7484310865402222 || acc: 0.7032755017280579
Epoch: 0 || Index :3700 || loss: 0.5648748278617859 || acc: 0.852830171585083
Epoch: 0 || Index :3800 || loss: 1.137440800666809 || acc: 0.2840283215045929
Epoch: 0 || Index :3900 || loss: 0.7127869725227356 || acc: 0.7764248251914978
Epoch: 0 || Index :4000 || loss: 1.1278197765350342 || acc: 0.15646067261695862
Epoch: 0 || Index :4100 || loss: 0.9494714140892029 || acc: 0.4359096586704254
Epoch: 0 || Index :4200 || loss: 1.0243778228759766 || acc: 0.5530520081520081
Epoch: 0 || Index :4300 || loss: 0.835108757019043 || acc: 0.38217583298683167
Epoch: 0 || Index :4400 || loss: 0.7004837989807129 || acc: 0.4530318081378937
Epoch: 0 || Index :4500 || loss: 0.6272700428962708 || acc: 0.7995110154151917
Epoch: 0 || Index :4600 || loss: 0.9191118478775024 || acc: 0.5118253231048584
Epoch: 0 || Index :4700 || loss: 0.7604310512542725 || acc: 0.2963768243789673
Epoch: 0 || Index :4800 || loss: 1.2132372856140137 || acc: 0.5070184469223022
Epoch: 0 || Index :4900 || loss: 1.1017413139343262 || acc: 0.37838900089263916
Epoch: 0 || Index :5000 || loss: 0.9823684096336365 || acc: 0.6984834671020508
Epoch: 0 || Index :5100 || loss: 0.8550506234169006 || acc: 0.6411862969398499
Epoch: 0 || Index :5200 || loss: 0.6038903594017029 || acc: 0.8195760250091553
Epoch: 0 || Index :5300 || loss: 0.9060384631156921 || acc: 0.21984297037124634
Epoch: 0 || Index :5400 || loss: 0.7461453676223755 || acc: 0.7580532431602478
Epoch: 0 || Index :5500 || loss: 0.4894631505012512 || acc: 0.8651078939437866
Epoch: 0 || Index :5600 || loss: 0.7663304209709167 || acc: 0.5760043263435364
Epoch: 0 || Index :5700 || loss: 0.8977864384651184 || acc: 0.5290202498435974
Epoch: 0 || Index :5800 || loss: 0.5562275052070618 || acc: 0.7438349723815918
Epoch: 0 || Index :5900 || loss: 0.6239181160926819 || acc: 0.9455170631408691
Epoch: 0 || Index :6000 || loss: 1.4075360298156738 || acc: 0.3678426742553711
Epoch: 0 || Index :6100 || loss: 0.7974597215652466 || acc: 0.7049911022186279
Epoch: 0 || Index :6200 || loss: 1.1734334230422974 || acc: 0.6659250855445862
Epoch: 0 || Index :6300 || loss: 1.0305620431900024 || acc: 0.5360230803489685
